selection_index,candidate_id,source_dataset,edit_type,instruction_original,local_caption,source_split,source_shard,source_row,source_record_id,source_group_id,scene_group_id,reference_categories,selection_tier,selection_focus
0,cb_train-00000-of-00007_0356,CompBench,add,add a bird similar to the other two flying birds in the middle of the two flying birds,a gray and white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,356,7ebfbf57/0/00004.png,cb-src-348d9f033f07845a07fe,cb-scene-7ebfbf57,between|middle|exclusion,A,between_anchors|central_instance|subset_by_exclusion
1,cb_train-00000-of-00007_0156,CompBench,add,"add a fish on the right of the second fish on the left of the school of fish, with its direction opposite to that of the other fish",two yellowish-white fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,156,28191f94/3/00004.png,cb-src-28ef523e50e6a8b7d302,cb-scene-28191f94,ordinal|relative|side|exclusion,A,ordinal_instance|relative_to_neighbor|directional_instance|subset_by_exclusion
2,cb_train-00001-of-00007_0279,CompBench,add,add a similar sheep with an upside-down head in the opposite direction behind the right side of the leftmost first sheep,a white sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,279,a92390a0/7/00029.png,cb-src-a2c0c5bd83bdff0b7bf0,cb-scene-a92390a0,ordinal|extreme|relative,A,ordinal_instance|extreme_or_superlative_instance|relative_to_neighbor
3,cb_train-00002-of-00007_0117,CompBench,add,"add a tiger on the leftmost of the cluster, above the second tiger from the left",a tiger,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,117,efe9cbca/1/00003.png,cb-src-b7db1879043a57f0a142,cb-scene-efe9cbca,ordinal|extreme|relative,A,ordinal_instance|extreme_or_superlative_instance|relative_to_neighbor
4,cb_train-00006-of-00007_0404,CompBench,multi_object_remove,remove the rightmost dog and the tallest white dog between two dogs,slope|shutter and ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,404,db6533a5_00070.png,cb-src-0a994b19944b0a14b868,cb-scene-db6533a5,extreme|between,A,between_anchors|extreme_or_superlative_instance|multiple_edit_targets
5,cb_train-00000-of-00007_0096,CompBench,add,"add a giraffe on the left side of the first giraffe from the rightmost with similar color, heading right and with its back to the viewer",a giraffe,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,96,199995b5/3/00028.png,cb-src-47a0b53060043795b1c5,cb-scene-199995b5,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
6,cb_train-00000-of-00007_0162,CompBench,add,add a similar zebra standing in the opposite direction on the left front of the second zebra from the rightmost,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,162,29ff29f6/4/00022.png,cb-src-40450033175ada46888e,cb-scene-29ff29f6,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
7,cb_train-00001-of-00007_0270,CompBench,add,add a goose similar to the first goose on the left front of the rightmost goose,a goose,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,270,a92390a0/10/00034.png,cb-src-0add27267c696520d99c,cb-scene-a92390a0,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
8,cb_train-00001-of-00007_0340,CompBench,add,add a white sheep on the right side of the leftmost sheep and the first similar sheep with its body facing right,a white sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,340,b4891f7f/3/00041.png,cb-src-afdfb80af63a5f61f573,cb-scene-b4891f7f,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
9,cb_train-00002-of-00007_0012,CompBench,add,"add a red, white, and black fish on the left of the first golden fish in the rightmost group of fish","a red, white, and black fish",train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,12,cfd946b2/0/00146.png,cb-src-ebb8251f97d38208c58a,cb-scene-cfd946b2,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
10,cb_train-00002-of-00007_0071,CompBench,add,add a brown chicken on the right of the first chicken in the lower leftmost corner of the flock and other similar chickens,a brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,71,e18f1dea/0/00027.png,cb-src-af68ce71d43378e22967,cb-scene-e18f1dea,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
11,cb_train-00000-of-00007_0241,CompBench,add,add a chicken on the leftmost side below the fence facing left that resembles the other chickens,a yellow chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,241,42ff84a5/1/00017.png,cb-src-fd2352a3245edb45b22e,cb-scene-42ff84a5,extreme|relative|exclusion,A,extreme_or_superlative_instance|relative_to_neighbor|subset_by_exclusion
12,cb_train-00002-of-00007_0143,CompBench,add,add a bird with similar color to the two birds on the rightmost and facing right between them,a bird between two black birds,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,143,fdb2e432/3/00080.png,cb-src-5bfb8aceb4bdd74af7be,cb-scene-fdb2e432,extreme|between,A,between_anchors|extreme_or_superlative_instance
13,cb_train-00006-of-00007_0347,CompBench,multi_object_remove,remove the left one between the two zebras far behind the zebra herds and the zebra hunted by the lion,grass|grass,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,347,115da184_00002.png,cb-src-bbb03323278a3a9915e1,cb-scene-115da184,between|relative,A,between_anchors|relative_to_neighbor|multiple_edit_targets
14,cb_train-00006-of-00007_0403,CompBench,multi_object_remove,remove the rightmost and second rightmost fish,rock and water|ground and water,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,403,cfd946b2_00021.png,cb-src-b28da67b2d29c3f60a42,cb-scene-cfd946b2,ordinal|extreme,A,ordinal_instance|extreme_or_superlative_instance|multiple_edit_targets
15,cb_train-00000-of-00007_0348,CompBench,add,add a bird on the left back side of the rightmost bird that is similar to the other birds,a black and white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,348,7c6d3504/0/00046.png,cb-src-a930fe5b22e03d438ed8,cb-scene-7c6d3504,extreme|side|exclusion,A,extreme_or_superlative_instance|directional_instance|subset_by_exclusion
16,cb_train-00000-of-00007_0382,CompBench,add,add a rabbit with fur color similar to another rabbit and body facing the upper right on the topmost,a white rabbit,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,382,80b73f1a/2/00023.png,cb-src-143cfd3e461e35eaa764,cb-scene-80b73f1a,extreme|side|exclusion,A,extreme_or_superlative_instance|directional_instance|subset_by_exclusion
17,cb_train-00001-of-00007_0310,CompBench,add,add a chicken on the left side of the leftmost chicken in the group of chickens that is similar to the other chickens,a brown chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,310,ac32a655/1/00120.png,cb-src-a821509917d0da4e98a9,cb-scene-ac32a655,extreme|side|exclusion,A,extreme_or_superlative_instance|directional_instance|subset_by_exclusion
18,cb_train-00001-of-00007_0072,CompBench,add,add a fish similar to the first red fish in the upper right corner below,a red fish,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,72,85aa3b0e/1/00235.png,cb-src-04929924187456019f74,cb-scene-85aa3b0e,ordinal|relative|side,A,ordinal_instance|relative_to_neighbor|directional_instance
19,cb_train-00001-of-00007_0227,CompBench,add,"add a white bird on the upper right of the first black bird on the right, which faces opposite to other white birds",a white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,227,9ffb2818/3/00069.png,cb-src-e11722e12d8b452348e5,cb-scene-9ffb2818,ordinal|relative|side,A,ordinal_instance|relative_to_neighbor|directional_instance
20,cb_train-00001-of-00007_0412,CompBench,add,add a black plane on the right of the first fighter jet similar to the leftmost one,a black plane,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,412,cbdbc6c3/0/00037.png,cb-src-71c41a4cf3d3835fb8d7,cb-scene-cbdbc6c3,ordinal|extreme|side,A,ordinal_instance|extreme_or_superlative_instance|directional_instance
21,cb_train-00002-of-00007_0045,CompBench,add,add a similar zebra in front of the first zebra on the right,two zebras,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,45,d3ab52cc/0/00018.png,cb-src-31ab53dd1ac80cbd8903,cb-scene-d3ab52cc,ordinal|relative|side,A,ordinal_instance|relative_to_neighbor|directional_instance
22,cb_train-00000-of-00007_0113,CompBench,add,add a bird similar to the other black birds on the upper right of the yellow bird in the middle,a yellow bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,113,1dc12eca/4/00042.png,cb-src-a1499044834bb272d76d,cb-scene-1dc12eca,middle|side|exclusion,A,central_instance|directional_instance|subset_by_exclusion
23,cb_train-00006-of-00007_0377,CompBench,multi_object_remove,remove the biggest yellow fish in the middle and the white fish on the upper left,water|water,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,377,85aa3b0e_00344.png,cb-src-09d72483a1a35c878760,cb-scene-85aa3b0e,extreme|middle|side,A,central_instance|extreme_or_superlative_instance|directional_instance|multiple_edit_targets
24,cb_train-00000-of-00007_0053,CompBench,add,add a zebra on the leftmost with a body facing left and similar color to the other zebras,a zebra,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,53,115da184/1/00016.png,cb-src-ec4cd0172c4712f2cb32,cb-scene-115da184,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
25,cb_train-00000-of-00007_0223,CompBench,add,"add a black bear on the rightmost side of the group of bears, similar to the other bears",a black bear,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,223,359003f8/2/00042.png,cb-src-577dbda8b94f359bd013,cb-scene-359003f8,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
26,cb_train-00000-of-00007_0317,CompBench,add,add a bird on the uppermost edge that looks similar to the other birds,a black and white bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,317,7286b176/0/00025.png,cb-src-0517a99b13f0350c1c5b,cb-scene-7286b176,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
27,cb_train-00001-of-00007_0154,CompBench,add,add an elephant on the uppermost part of the elephant group with a similar size to the other elephants,an elephant,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,154,911ec4ad/0/00015.png,cb-src-9b12e3bc620ce06b7e9e,cb-scene-911ec4ad,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
28,cb_train-00001-of-00007_0204,CompBench,add,add a bird on the leftmost that looks similar to the other birds,a black bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00001-of-00007.parquet,204,999e07cb/1/00015.png,cb-src-7f8b0270cd9e97d22669,cb-scene-999e07cb,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
29,cb_train-00002-of-00007_0042,CompBench,add,"add a deer on the leftmost side with its back facing, similar fur to the other deer",a deer,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,42,d0b507c3/0/00057.png,cb-src-73acfad07a0f41df27d6,cb-scene-d0b507c3,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
30,cb_train-00002-of-00007_0093,CompBench,add,add a chicken on the farthest right with a color similar to the other chickens and facing right,a yellow chicken,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,93,e6348d2c/0/00075.png,cb-src-1296859283d739f77ba8,cb-scene-e6348d2c,extreme|exclusion,A,extreme_or_superlative_instance|subset_by_exclusion
31,cb_train-00002-of-00007_0151,CompBench,add,"add a black bear on the upper middle, opposite the second bear",a black bear,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00002-of-00007.parquet,151,ff1142df/0/00014.png,cb-src-947075d40a14c1b80f58,cb-scene-ff1142df,ordinal|middle|side,A,ordinal_instance|central_instance|directional_instance
32,cb_train-00006-of-00007_0320,CompBench,multi_object_add,add a sheep in front and a sheep behind the second sheep from front,a sheep|a sheep,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,320,a92390a0_00030.png,cb-src-904021dcc8195100b97e,cb-scene-a92390a0,ordinal|relative,A,ordinal_instance|relative_to_neighbor|multiple_edit_targets
33,cb_train-00006-of-00007_0406,CompBench,multi_object_remove,remove the second leftmost and the rightmost white goose,two white geese|ground,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00006-of-00007.parquet,406,e7e2a0b9_00002.png,cb-src-5e4fa0e18c13239e2a07,cb-scene-e7e2a0b9,ordinal|extreme,A,ordinal_instance|extreme_or_superlative_instance|multiple_edit_targets
34,cb_train-00000-of-00007_0108,CompBench,add,add a similar yellow bird on the left side of the first yellow bird on the right,a yellow bird,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,108,1dc12eca/0/00050.png,cb-src-fe955324ea252c04fe87,cb-scene-1dc12eca,ordinal|side,A,ordinal_instance|directional_instance
35,cb_train-00000-of-00007_0148,CompBench,add,add a dog similar to the second dog on the left side of it,a yellow dog,train,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,148,251bf059/0/00064.png,cb-src-5a182223b80d82cef77e,cb-scene-251bf059,ordinal|side,A,ordinal_instance|directional_instance
