candidate_id,source_dataset,sheet,position,row,column
cb_train-00000-of-00007_0027,CompBench,compbench_01.jpg,0,0,0
cb_train-00000-of-00007_0028,CompBench,compbench_01.jpg,1,0,1
cb_train-00000-of-00007_0039,CompBench,compbench_01.jpg,2,0,2
cb_train-00000-of-00007_0106,CompBench,compbench_01.jpg,3,0,3
cb_train-00000-of-00007_0129,CompBench,compbench_01.jpg,4,0,4
cb_train-00000-of-00007_0130,CompBench,compbench_01.jpg,5,1,0
cb_train-00000-of-00007_0131,CompBench,compbench_01.jpg,6,1,1
cb_train-00000-of-00007_0132,CompBench,compbench_01.jpg,7,1,2
cb_train-00000-of-00007_0145,CompBench,compbench_01.jpg,8,1,3
cb_train-00000-of-00007_0151,CompBench,compbench_01.jpg,9,1,4
cb_train-00000-of-00007_0177,CompBench,compbench_01.jpg,10,2,0
cb_train-00000-of-00007_0208,CompBench,compbench_01.jpg,11,2,1
cb_train-00000-of-00007_0214,CompBench,compbench_01.jpg,12,2,2
cb_train-00000-of-00007_0216,CompBench,compbench_01.jpg,13,2,3
cb_train-00000-of-00007_0219,CompBench,compbench_01.jpg,14,2,4
cb_train-00000-of-00007_0220,CompBench,compbench_01.jpg,15,3,0
cb_train-00000-of-00007_0221,CompBench,compbench_01.jpg,16,3,1
cb_train-00000-of-00007_0223,CompBench,compbench_01.jpg,17,3,2
cb_train-00000-of-00007_0235,CompBench,compbench_01.jpg,18,3,3
cb_train-00000-of-00007_0242,CompBench,compbench_01.jpg,19,3,4
cb_train-00000-of-00007_0245,CompBench,compbench_01.jpg,20,4,0
cb_train-00000-of-00007_0257,CompBench,compbench_01.jpg,21,4,1
cb_train-00000-of-00007_0283,CompBench,compbench_01.jpg,22,4,2
cb_train-00000-of-00007_0284,CompBench,compbench_01.jpg,23,4,3
cb_train-00000-of-00007_0285,CompBench,compbench_01.jpg,24,4,4
cb_train-00000-of-00007_0309,CompBench,compbench_02.jpg,0,0,0
cb_train-00000-of-00007_0335,CompBench,compbench_02.jpg,1,0,1
cb_train-00000-of-00007_0383,CompBench,compbench_02.jpg,2,0,2
cb_train-00000-of-00007_0390,CompBench,compbench_02.jpg,3,0,3
cb_train-00001-of-00007_0066,CompBench,compbench_02.jpg,4,0,4
cb_train-00001-of-00007_0094,CompBench,compbench_02.jpg,5,1,0
cb_train-00001-of-00007_0095,CompBench,compbench_02.jpg,6,1,1
cb_train-00001-of-00007_0115,CompBench,compbench_02.jpg,7,1,2
cb_train-00001-of-00007_0120,CompBench,compbench_02.jpg,8,1,3
cb_train-00001-of-00007_0174,CompBench,compbench_02.jpg,9,1,4
cb_train-00001-of-00007_0201,CompBench,compbench_02.jpg,10,2,0
cb_train-00001-of-00007_0250,CompBench,compbench_02.jpg,11,2,1
cb_train-00001-of-00007_0262,CompBench,compbench_02.jpg,12,2,2
cb_train-00001-of-00007_0295,CompBench,compbench_02.jpg,13,2,3
cb_train-00001-of-00007_0351,CompBench,compbench_02.jpg,14,2,4
cb_train-00001-of-00007_0354,CompBench,compbench_02.jpg,15,3,0
cb_train-00001-of-00007_0396,CompBench,compbench_02.jpg,16,3,1
cb_train-00001-of-00007_0402,CompBench,compbench_02.jpg,17,3,2
cb_train-00001-of-00007_0412,CompBench,compbench_02.jpg,18,3,3
cb_train-00002-of-00007_0069,CompBench,compbench_02.jpg,19,3,4
cb_train-00002-of-00007_0079,CompBench,compbench_02.jpg,20,4,0
cb_train-00002-of-00007_0086,CompBench,compbench_02.jpg,21,4,1
