candidate_id,source_dataset,source_split,edit_type,source_record_id,source_shard,source_row,instruction_original,local_caption,target_prompt,region_source,mask_area_ratio,mask_components,diff_mass_inside_ratio,changed_pixel_inside_ratio,small_target,multi_target,multi_object_scene,same_class_multi_instance_proxy,requires_ref_instruction,strict_eligible,selection_score,review_flags
cb_train-00000-of-00007_0027,CompBench,train,add,03e5f069/1/00086.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,27,add a black-clothed person riding a bike on the upper right of the white-clothed person,a black-clothed person showing the upper body,,instance_mask,0.00936767578125,1,0.9788321256637573,1.0,True,False,True,True,False,True,13.275681322862201,
cb_train-00000-of-00007_0028,CompBench,train,add,05ed1023/0/00006.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,28,add a tiger on the right of the two tigers facing left with similar fur color to the others,a tiger,,instance_mask,0.07341552734375,1,0.9737883806228638,1.0,False,False,True,True,False,True,12.742333192964258,
cb_train-00000-of-00007_0039,CompBench,train,add,0f809e41/0/00007.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,39,add a gray fish on the upper left heading right,a gray fish,,instance_mask,0.073935546875,1,0.8144065141677856,0.9548013020480131,False,False,True,True,False,True,12.108572311650573,
cb_train-00000-of-00007_0106,CompBench,train,add,1dc0c9a0/1/00017.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,106,add a turtle on the left of the forward-facing turtle below the leftmost turtle,a turtle,,instance_mask,0.11483154296875,1,0.9830930829048157,0.9947230110626033,False,False,True,True,False,True,12.60690655514024,
cb_train-00000-of-00007_0129,CompBench,train,add,1e95ef5e/0/00002.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,129,add a duck on the rightmost side with its body facing right and similar feather color to other ducks,a brownish-gray duck,,instance_mask,0.0146435546875,1,0.9879998564720154,1.0,True,False,True,True,False,True,13.591710531162517,
cb_train-00000-of-00007_0130,CompBench,train,add,1e95ef5e/0/00005.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,130,add a duck on the upper right corner similar to other ducks,a brownish-gray duck,,instance_mask,0.01412841796875,1,0.9882457256317139,1.0,True,False,True,True,False,True,13.569992434723764,
cb_train-00000-of-00007_0131,CompBench,train,add,1e95ef5e/0/00007.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,131,add a duck similar to the other ducks on the upper right corner of the group of ducks,a brown duck,,instance_mask,0.01429443359375,1,0.986443817615509,1.0,True,False,True,True,False,True,13.569436788811014,
cb_train-00000-of-00007_0132,CompBench,train,add,1e95ef5e/0/00010.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,132,add a duck on the right side below the green stone beast,a brown duck,,instance_mask,0.01412353515625,1,0.9862156510353088,1.0,True,False,True,True,False,True,13.561902441731558,
cb_train-00000-of-00007_0145,CompBench,train,add,23e046fb/1/00001.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,145,add a giraffe on the right side of the sheep with its head down drinking water,a giraffe and a brown sheep,,instance_mask,0.12752197265625,1,0.90699303150177,0.9151684556987149,False,False,True,True,False,True,12.23664768733235,
cb_train-00000-of-00007_0151,CompBench,train,add,258944c8/0/00096.png,/mnt/bn/strategy-mllm-train/user/tanyue/datasets/CompBench/data/train-00000-of-00007.parquet,151,add a black bear on the rightmost side facing right and supporting itself on the parallel bars,a black bear,,instance_mask,0.165078125,1,0.8922650218009949,0.8103956180525189,False,False,True,True,False,True,12.017154969606139,
