selection_index,candidate_id,source_dataset,edit_type,instruction_original,strict_eligible,review_flags,region_correct_y_n,instruction_unambiguous_y_n,local_edit_y_n,gt_correct_y_n_or_na,multi_target_mapping_y_n_or_na,final_decision_keep_drop_rewrite,reviewer,review_notes
0,cb_train-00000-of-00007_0027,CompBench,add,add a black-clothed person riding a bike on the upper right of the white-clothed person,True,,,,,,,,,
1,cb_train-00000-of-00007_0028,CompBench,add,add a tiger on the right of the two tigers facing left with similar fur color to the others,True,,,,,,,,,
2,cb_train-00000-of-00007_0039,CompBench,add,add a gray fish on the upper left heading right,True,,,,,,,,,
3,cb_train-00000-of-00007_0106,CompBench,add,add a turtle on the left of the forward-facing turtle below the leftmost turtle,True,,,,,,,,,
4,cb_train-00000-of-00007_0129,CompBench,add,add a duck on the rightmost side with its body facing right and similar feather color to other ducks,True,,,,,,,,,
5,cb_train-00000-of-00007_0130,CompBench,add,add a duck on the upper right corner similar to other ducks,True,,,,,,,,,
6,cb_train-00000-of-00007_0131,CompBench,add,add a duck similar to the other ducks on the upper right corner of the group of ducks,True,,,,,,,,,
7,cb_train-00000-of-00007_0132,CompBench,add,add a duck on the right side below the green stone beast,True,,,,,,,,,
8,cb_train-00000-of-00007_0145,CompBench,add,add a giraffe on the right side of the sheep with its head down drinking water,True,,,,,,,,,
9,cb_train-00000-of-00007_0151,CompBench,add,add a black bear on the rightmost side facing right and supporting itself on the parallel bars,True,,,,,,,,,
10,cb_train-00000-of-00007_0177,CompBench,add,add a man on the lower right corner of the steps wearing a blue coat and a mask with his direction to upper right,True,,,,,,,,,
11,cb_train-00000-of-00007_0208,CompBench,add,add a monkey behind the left monkey on the rock walking to the left and similar to other monkeys,True,,,,,,,,,
12,cb_train-00000-of-00007_0214,CompBench,add,add a brown bear on the leftmost,True,,,,,,,,,
13,cb_train-00000-of-00007_0216,CompBench,add,add a gray bear sitting with its head facing right on the leftmost side,True,,,,,,,,,
14,cb_train-00000-of-00007_0219,CompBench,add,add a similar bear on the right side of the bear on the right,True,,,,,,,,,
15,cb_train-00000-of-00007_0220,CompBench,add,add a gray bear on the right side of the right bear,True,,,,,,,,,
16,cb_train-00000-of-00007_0221,CompBench,add,add a gray bear on the rightmost,True,,,,,,,,,
17,cb_train-00000-of-00007_0223,CompBench,add,"add a black bear on the rightmost side of the group of bears, similar to the other bears",True,,,,,,,,,
18,cb_train-00000-of-00007_0235,CompBench,add,add a white airplane on the right side of the leftmost tail,True,,,,,,,,,
19,cb_train-00000-of-00007_0242,CompBench,add,add a rabbit similar to the second rabbit on the right side of the left second rabbit,True,,,,,,,,,
20,cb_train-00000-of-00007_0245,CompBench,add,add a white-bodied black-mouthed dog running to the right on the right side of the group of dogs,True,,,,,,,,,
21,cb_train-00000-of-00007_0257,CompBench,add,add a black and white dog on the lower right corner walking towards the lower left,True,,,,,,,,,
22,cb_train-00000-of-00007_0283,CompBench,add,add a brown bear on the rightmost,True,,,,,,,,,
23,cb_train-00000-of-00007_0284,CompBench,add,add a brown bear on the rightmost,True,,,,,,,,,
24,cb_train-00000-of-00007_0285,CompBench,add,add a small bear with similar fur color on the right side of the topmost bear,True,,,,,,,,,
25,cb_train-00000-of-00007_0309,CompBench,add,add a turtle on the upper left with its head facing forward,True,,,,,,,,,
26,cb_train-00000-of-00007_0335,CompBench,add,"add a bird on the left near side of the second bird on the right, with its neck stretched out and turning to the left",True,,,,,,,,,
27,cb_train-00000-of-00007_0383,CompBench,add,add a headless tiger facing right on the right staircase,True,,,,,,,,,
28,cb_train-00000-of-00007_0390,CompBench,add,add a similar airplane to the uppermost airplane on its upper side,True,,,,,,,,,
29,cb_train-00001-of-00007_0066,CompBench,add,add a fish on the lower right corner of the red fish with its head pointing to the upper right,True,,,,,,,,,
30,cb_train-00001-of-00007_0094,CompBench,add,add a red electric scooter and a purple windproof cover on the upper left,True,,,,,,,,,
31,cb_train-00001-of-00007_0095,CompBench,add,add a red electric scooter and a purple windproof cover on the upper left,True,,,,,,,,,
32,cb_train-00001-of-00007_0115,CompBench,add,add a black-clothed person standing with their back on the left side of the scooter,True,,,,,,,,,
33,cb_train-00001-of-00007_0120,CompBench,add,add a white cow on the rightmost,True,,,,,,,,,
34,cb_train-00001-of-00007_0174,CompBench,add,add a turtle on the lower right with its head facing forward,True,,,,,,,,,
35,cb_train-00001-of-00007_0201,CompBench,add,add a white goose on the lower left,True,,,,,,,,,
36,cb_train-00001-of-00007_0250,CompBench,add,add a zebra on the left side of the lead zebra in the herd with its head towards the ground,True,,,,,,,,,
37,cb_train-00001-of-00007_0262,CompBench,add,add a plane on the rightmost side that is similar to the other planes,True,,,,,,,,,
38,cb_train-00001-of-00007_0295,CompBench,add,add a black bird on the upper left,True,,,,,,,,,
39,cb_train-00001-of-00007_0351,CompBench,add,add a tiger with similar fur color walking on the left side of the leftmost tiger in the group of tigers,True,,,,,,,,,
